ACID,ENTITY_CRE_FLG,ACCT_CLS_FLG,ACCT_CLS_DATE,FREZ_CODE,TS_CNT
823838,Y,N,2022-08-25,C,16
823839,Y,N,2022-08-25,C,17
823840,Y,N,2022-08-25,C,18
823841,Y,N,2022-08-25,C,19
823842,Y,N,2022-08-25,C,20
823843,Y,N,2022-08-25,C,21
823844,Y,N,2022-08-25,C,22
823845,Y,N,2022-08-25,C,23
823846,Y,N,2022-08-25,C,24
823847,Y,N,2022-08-25,C,25
823848,Y,N,2022-08-25,C,26
823849,Y,N,2022-08-25,C,27
823850,Y,N,2022-08-25,C,28
823851,Y,N,2022-08-25,C,29
823852,Y,N,2022-08-25,C,30
823853,Y,N,2022-08-25,C,31
823854,Y,N,2022-08-25,C,32
823855,Y,N,2022-08-25,C,33
823856,Y,N,2022-08-25,C,34
823857,Y,N,2022-08-25,C,35
823858,Y,N,2022-08-25,C,36
823859,Y,N,2022-08-25,C,37
823860,Y,N,2022-08-25,C,38
823861,Y,N,2022-08-25,C,39
823862,Y,N,2022-08-25,C,40
823863,Y,N,2022-08-25,C,41
823864,Y,N,2022-08-25,C,42
823865,Y,N,2022-08-25,C,43
823866,Y,N,2022-08-25,C,44
823867,Y,N,2022-08-25,C,45
823868,Y,N,2022-08-25,C,46
823869,Y,N,2022-08-25,C,47
823870,Y,N,2022-08-25,C,48
823871,Y,N,2022-08-25,C,49
823872,Y,N,2022-08-25,C,0
823873,Y,N,2022-08-25,C,1
823874,Y,N,2022-08-25,C,2
823875,Y,N,2022-08-25,C,3
823876,Y,N,2022-08-25,C,4
823877,Y,N,2022-08-25,C,5
823878,Y,N,2022-08-25,C,6
823879,Y,N,2022-08-25,C,7
823880,Y,N,2022-08-25,C,8
823881,Y,N,2022-08-25,C,9
823882,Y,N,2022-08-25,C,10
823883,Y,N,2022-08-25,C,11
823884,Y,N,2022-08-25,C,12
823885,Y,N,2022-08-25,C,13
823886,Y,N,2022-08-25,C,14
823887,Y,N,2022-08-25,C,15
823888,Y,N,2022-08-25,C,16
823889,Y,N,2022-08-25,C,17
823890,Y,N,2022-08-25,C,18
823891,Y,N,2022-08-25,C,19
823892,Y,N,2022-08-25,C,20
823893,Y,N,2022-08-25,C,21
823894,Y,N,2022-08-25,C,22
823895,Y,N,2022-08-25,C,23
823896,Y,N,2022-08-25,C,24
823897,Y,N,2022-08-25,C,25
823898,Y,N,2022-08-25,C,26
823899,Y,N,2022-08-25,C,27
823900,Y,N,2022-08-25,C,28
823901,Y,N,2022-08-25,C,29
823902,Y,N,2022-08-25,C,30
823903,Y,N,2022-08-25,C,31
823904,Y,N,2022-08-25,C,32
823905,Y,N,2022-08-25,C,33
823906,Y,N,2022-08-25,C,34
823907,Y,N,2022-08-25,C,35
823908,Y,N,2022-08-25,C,36
823909,Y,N,2022-08-25,C,37
823910,Y,N,2022-08-25,C,38
823911,Y,N,2022-08-25,C,39
823912,Y,N,2022-08-25,C,40
823913,Y,N,2022-08-25,C,41
823914,Y,N,2022-08-25,C,42
823915,Y,N,2022-08-25,C,43
823916,Y,N,2022-08-25,C,44
823917,Y,N,2022-08-25,C,45
823918,Y,N,2022-08-25,C,46
823919,Y,N,2022-08-25,C,47
823920,Y,N,2022-08-25,C,48
823921,Y,N,2022-08-25,C,49
823922,Y,N,2022-08-25,C,0
823923,Y,N,2022-08-25,C,1
823924,Y,N,2022-08-25,C,2
823925,Y,N,2022-08-25,C,3
823926,Y,N,2022-08-25,C,4
823927,Y,N,2022-08-25,C,5
823928,Y,N,2022-08-25,C,6
823929,Y,N,2022-08-25,C,7
823930,Y,N,2022-08-25,C,8
823931,Y,N,2022-08-25,C,9
823932,Y,N,2022-08-25,C,10
823933,Y,N,2022-08-25,C,11
823934,Y,N,2022-08-25,C,12
823935,Y,N,2022-08-25,C,13
823936,Y,N,2022-08-25,C,14
823937,Y,N,2022-08-25,C,15
823938,Y,N,2022-08-25,C,16
823939,Y,N,2022-08-25,C,17
823940,Y,N,2022-08-25,C,18
823941,Y,N,2022-08-25,C,19
823942,Y,N,2022-08-25,C,20
823943,Y,N,2022-08-25,C,21
823944,Y,N,2022-08-25,C,22
823945,Y,N,2022-08-25,C,23
823946,Y,N,2022-08-25,C,24
823947,Y,N,2022-08-25,C,25
823948,Y,N,2022-08-25,C,26
823949,Y,N,2022-08-25,C,27
823950,Y,N,2022-08-25,C,28
823951,Y,N,2022-08-25,C,29
823952,Y,N,2022-08-25,C,30
823953,Y,N,2022-08-25,C,31
823954,Y,N,2022-08-25,C,32
823955,Y,N,2022-08-25,C,33
823956,Y,N,2022-08-25,C,34
823957,Y,N,2022-08-25,C,35
823958,Y,N,2022-08-25,C,36
823959,Y,N,2022-08-25,C,37
823960,Y,N,2022-08-25,C,38
823961,Y,N,2022-08-25,C,39
823962,Y,N,2022-08-25,C,40
823963,Y,N,2022-08-25,C,41
823964,Y,N,2022-08-25,C,42
823965,Y,N,2022-08-25,C,43
823966,Y,N,2022-08-25,C,44
823967,Y,N,2022-08-25,C,45
823968,Y,N,2022-08-25,C,46
823969,Y,N,2022-08-25,C,47
823970,Y,N,2022-08-25,C,48
823971,Y,N,2022-08-25,C,49
823972,Y,N,2022-08-25,C,0
823973,Y,N,2022-08-25,C,1
823974,Y,N,2022-08-25,C,2
823975,Y,N,2022-08-25,C,3
823976,Y,N,2022-08-25,C,4
823977,Y,N,2022-08-25,C,5
823978,Y,N,2022-08-25,C,6
823979,Y,N,2022-08-25,C,7
823980,Y,N,2022-08-25,C,8
823981,Y,N,2022-08-25,C,9
823982,Y,N,2022-08-25,C,10
823983,Y,N,2022-08-25,C,11
823984,Y,N,2022-08-25,C,12
823985,Y,N,2022-08-25,C,13
823986,Y,N,2022-08-25,C,14
823987,Y,N,2022-08-25,C,15
823988,Y,N,2022-08-25,C,16
823989,Y,N,2022-08-25,C,17
823990,Y,N,2022-08-25,C,18
823991,Y,N,2022-08-25,C,19
823992,Y,N,2022-08-25,C,20
823993,Y,N,2022-08-25,C,21
823994,Y,N,2022-08-25,C,22
823995,Y,N,2022-08-25,C,23
823996,Y,N,2022-08-25,C,24
823997,Y,N,2022-08-25,C,25
823998,Y,N,2022-08-25,C,26
823999,Y,N,2022-08-25,C,27
824000,Y,N,2022-08-25,C,28
824001,Y,N,2022-08-25,C,29
824002,Y,N,2022-08-25,C,30
824003,Y,N,2022-08-25,C,31
824004,Y,N,2022-08-25,C,32
824005,Y,N,2022-08-25,C,33
824006,Y,N,2022-08-25,C,34
824007,Y,N,2022-08-25,C,35
824008,Y,N,2022-08-25,C,36
824009,Y,N,2022-08-25,C,37
824010,Y,N,2022-08-25,C,38
824011,Y,N,2022-08-25,C,39
824012,Y,N,2022-08-25,C,40
824013,Y,N,2022-08-25,C,41
824014,Y,N,2022-08-25,C,42
824015,Y,N,2022-08-25,C,43
824016,Y,N,2022-08-25,C,44
824017,Y,N,2022-08-25,C,45
824018,Y,N,2022-08-25,C,46
824019,Y,N,2022-08-25,C,47
824020,Y,N,2022-08-25,C,48
824021,Y,N,2022-08-25,C,49
824022,Y,N,2022-08-25,C,0
824023,Y,N,2022-08-25,C,1
824024,Y,N,2022-08-25,C,2
824025,Y,N,2022-08-25,C,3
824026,Y,N,2022-08-25,C,4
824027,Y,N,2022-08-25,C,5
824028,Y,N,2022-08-25,C,6
824029,Y,N,2022-08-25,C,7
824030,Y,N,2022-08-25,C,8
824031,Y,N,2022-08-25,C,9
824032,Y,N,2022-08-25,C,10
824033,Y,N,2022-08-25,C,11
824034,Y,N,2022-08-25,C,12
824035,Y,N,2022-08-25,C,13
824036,Y,N,2022-08-25,C,14
824037,Y,N,2022-08-25,C,15
824038,Y,N,2022-08-25,C,16
824039,Y,N,2022-08-25,C,17
824040,Y,N,2022-08-25,C,18
824041,Y,N,2022-08-25,C,19
824042,Y,N,2022-08-25,C,20
824043,Y,N,2022-08-25,C,21
824044,Y,N,2022-08-25,C,22
824045,Y,N,2022-08-25,C,23
824046,Y,N,2022-08-25,C,24
824047,Y,N,2022-08-25,C,25
824048,Y,N,2022-08-25,C,26
824049,Y,N,2022-08-25,C,27
824050,Y,N,2022-08-25,C,28
824051,Y,N,2022-08-25,C,29
824052,Y,N,2022-08-25,C,30
824053,Y,N,2022-08-25,C,31
824054,Y,N,2022-08-25,C,32
824055,Y,N,2022-08-25,C,33
824056,Y,N,2022-08-25,C,34
824057,Y,N,2022-08-25,C,35
824058,Y,N,2022-08-25,C,36
824059,Y,N,2022-08-25,C,37
824060,Y,N,2022-08-25,C,38
824061,Y,N,2022-08-25,C,39
824062,Y,N,2022-08-25,C,40
824063,Y,N,2022-08-25,C,41
824064,Y,N,2022-08-25,C,42
824065,Y,N,2022-08-25,C,43
824066,Y,N,2022-08-25,C,44
824067,Y,N,2022-08-25,C,45
824068,Y,N,2022-08-25,C,46
824069,Y,N,2022-08-25,C,47
824070,Y,N,2022-08-25,C,48
824071,Y,N,2022-08-25,C,49
824072,Y,N,2022-08-25,C,0
824073,Y,N,2022-08-25,C,1
824074,Y,N,2022-08-25,C,2
824075,Y,N,2022-08-25,C,3
824076,Y,N,2022-08-25,C,4
824077,Y,N,2022-08-25,C,5
824078,Y,N,2022-08-25,C,6
824079,Y,N,2022-08-25,C,7
824080,Y,N,2022-08-25,C,8
824081,Y,N,2022-08-25,C,9
824082,Y,N,2022-08-25,C,10
824083,Y,N,2022-08-25,C,11
824084,Y,N,2022-08-25,C,12
824085,Y,N,2022-08-25,C,13
824086,Y,N,2022-08-25,C,14
824087,Y,N,2022-08-25,C,15
824088,Y,N,2022-08-25,C,16
824089,Y,N,2022-08-25,C,17
824090,Y,N,2022-08-25,C,18
824091,Y,N,2022-08-25,C,19
824092,Y,N,2022-08-25,C,20
824093,Y,N,2022-08-25,C,21
824094,Y,N,2022-08-25,C,22
824095,Y,N,2022-08-25,C,23
824096,Y,N,2022-08-25,C,24
824097,Y,N,2022-08-25,C,25
824098,Y,N,2022-08-25,C,26
824099,Y,N,2022-08-25,C,27
824100,Y,N,2022-08-25,C,28
824101,Y,N,2022-08-25,C,29
824102,Y,N,2022-08-25,C,30
824103,Y,N,2022-08-25,C,31
824104,Y,N,2022-08-25,C,32
824105,Y,N,2022-08-25,C,33
824106,Y,N,2022-08-25,C,34
824107,Y,N,2022-08-25,C,35
824108,Y,N,2022-08-25,C,36
824109,Y,N,2022-08-25,C,37
824110,Y,N,2022-08-25,C,38
824111,Y,N,2022-08-25,C,39
824112,Y,N,2022-08-25,C,40
824113,Y,N,2022-08-25,C,41
824114,Y,N,2022-08-25,C,42
824115,Y,N,2022-08-25,C,43
824116,Y,N,2022-08-25,C,44
824117,Y,N,2022-08-25,C,45
824118,Y,N,2022-08-25,C,46
824119,Y,N,2022-08-25,C,47
824120,Y,N,2022-08-25,C,48
824121,Y,N,2022-08-25,C,49
824122,Y,N,2022-08-25,C,0
824123,Y,N,2022-08-25,C,1
824124,Y,N,2022-08-25,C,2
824125,Y,N,2022-08-25,C,3
824126,Y,N,2022-08-25,C,4
824127,Y,N,2022-08-25,C,5
824128,Y,N,2022-08-25,C,6
824129,Y,N,2022-08-25,C,7
824130,Y,N,2022-08-25,C,8
824131,Y,N,2022-08-25,C,9
824132,Y,N,2022-08-25,C,10
824133,Y,N,2022-08-25,C,11
824134,Y,N,2022-08-25,C,12
824135,Y,N,2022-08-25,C,13
824136,Y,N,2022-08-25,C,14
824137,Y,N,2022-08-25,C,15
824138,Y,N,2022-08-25,C,16
824139,Y,N,2022-08-25,C,17
824140,Y,N,2022-08-25,C,18
824141,Y,N,2022-08-25,C,19
824142,Y,N,2022-08-25,C,20
824143,Y,N,2022-08-25,C,21
824144,Y,N,2022-08-25,C,22
824145,Y,N,2022-08-25,C,23
824146,Y,N,2022-08-25,C,24
824147,Y,N,2022-08-25,C,25
824148,Y,N,2022-08-25,C,26
824149,Y,N,2022-08-25,C,27
824150,Y,N,2022-08-25,C,28
824151,Y,N,2022-08-25,C,29
824152,Y,N,2022-08-25,C,30
824153,Y,N,2022-08-25,C,31
824154,Y,N,2022-08-25,C,32
824155,Y,N,2022-08-25,C,33
824156,Y,N,2022-08-25,C,34
824157,Y,N,2022-08-25,C,35
824158,Y,N,2022-08-25,C,36
824159,Y,N,2022-08-25,C,37
824160,Y,N,2022-08-25,C,38
824161,Y,N,2022-08-25,C,39
824162,Y,N,2022-08-25,C,40
824163,Y,N,2022-08-25,C,41
824164,Y,N,2022-08-25,C,42
824165,Y,N,2022-08-25,C,43
824166,Y,N,2022-08-25,C,44
824167,Y,N,2022-08-25,C,45
824168,Y,N,2022-08-25,C,46
824169,Y,N,2022-08-25,C,47
824170,Y,N,2022-08-25,C,48
824171,Y,N,2022-08-25,C,49
824172,Y,N,2022-08-25,C,0
824173,Y,N,2022-08-25,C,1
824174,Y,N,2022-08-25,C,2
824175,Y,N,2022-08-25,C,3
824176,Y,N,2022-08-25,C,4
824177,Y,N,2022-08-25,C,5
824178,Y,N,2022-08-25,C,6
824179,Y,N,2022-08-25,C,7
824180,Y,N,2022-08-25,C,8
824181,Y,N,2022-08-25,C,9
824182,Y,N,2022-08-25,C,10
824183,Y,N,2022-08-25,C,11
824184,Y,N,2022-08-25,C,12
824185,Y,N,2022-08-25,C,13
824186,Y,N,2022-08-25,C,14
824187,Y,N,2022-08-25,C,15
824188,Y,N,2022-08-25,C,16
824189,Y,N,2022-08-25,C,17
824190,Y,N,2022-08-25,C,18
824191,Y,N,2022-08-25,C,19
824192,Y,N,2022-08-25,C,20
824193,Y,N,2022-08-25,C,21
824194,Y,N,2022-08-25,C,22
824195,Y,N,2022-08-25,C,23
824196,Y,N,2022-08-25,C,24
824197,Y,N,2022-08-25,C,25
824198,Y,N,2022-08-25,C,26
824199,Y,N,2022-08-25,C,27
824200,Y,N,2022-08-25,C,28
824201,Y,N,2022-08-25,C,29
824202,Y,N,2022-08-25,C,30
824203,Y,N,2022-08-25,C,31
824204,Y,N,2022-08-25,C,32
824205,Y,N,2022-08-25,C,33
824206,Y,N,2022-08-25,C,34
824207,Y,N,2022-08-25,C,35
824208,Y,N,2022-08-25,C,36
824209,Y,N,2022-08-25,C,37
824210,Y,N,2022-08-25,C,38
824211,Y,N,2022-08-25,C,39
824212,Y,N,2022-08-25,C,40
824213,Y,N,2022-08-25,C,41
824214,Y,N,2022-08-25,C,42
824215,Y,N,2022-08-25,C,43
824216,Y,N,2022-08-25,C,44
824217,Y,N,2022-08-25,C,45
824218,Y,N,2022-08-25,C,46
824219,Y,N,2022-08-25,C,47
824220,Y,N,2022-08-25,C,48
824221,Y,N,2022-08-25,C,49
824222,Y,N,2022-08-25,C,0
824223,Y,N,2022-08-25,C,1
824224,Y,N,2022-08-25,C,2
824225,Y,N,2022-08-25,C,3
824226,Y,N,2022-08-25,C,4
824227,Y,N,2022-08-25,C,5
824228,Y,N,2022-08-25,C,6
824229,Y,N,2022-08-25,C,7
824230,Y,N,2022-08-25,C,8
824231,Y,N,2022-08-25,C,9
824232,Y,N,2022-08-25,C,10
824233,Y,N,2022-08-25,C,11
824234,Y,N,2022-08-25,C,12
824235,Y,N,2022-08-25,C,13
824236,Y,N,2022-08-25,C,14
824237,Y,N,2022-08-25,C,15
824238,Y,N,2022-08-25,C,16
824239,Y,N,2022-08-25,C,17
824240,Y,N,2022-08-25,C,18
824241,Y,N,2022-08-25,C,19
824242,Y,N,2022-08-25,C,20
824243,Y,N,2022-08-25,C,21
824244,Y,N,2022-08-25,C,22
824245,Y,N,2022-08-25,C,23
824246,Y,N,2022-08-25,C,24
824247,Y,N,2022-08-25,C,25
824248,Y,N,2022-08-25,C,26
824249,Y,N,2022-08-25,C,27
824250,Y,N,2022-08-25,C,28
824251,Y,N,2022-08-25,C,29
824252,Y,N,2022-08-25,C,30
824253,Y,N,2022-08-25,C,31
824254,Y,N,2022-08-25,C,32
824255,Y,N,2022-08-25,C,33
824256,Y,N,2022-08-25,C,34
824257,Y,N,2022-08-25,C,35
824258,Y,N,2022-08-25,C,36
824259,Y,N,2022-08-25,C,37
824260,Y,N,2022-08-25,C,38
824261,Y,N,2022-08-25,C,39
824262,Y,N,2022-08-25,C,40
824263,Y,N,2022-08-25,C,41
824264,Y,N,2022-08-25,C,42
824265,Y,N,2022-08-25,C,43
824266,Y,N,2022-08-25,C,44
824267,Y,N,2022-08-25,C,45
824268,Y,N,2022-08-25,C,46
824269,Y,N,2022-08-25,C,47
824270,Y,N,2022-08-25,C,48
824271,Y,N,2022-08-25,C,49
824272,Y,N,2022-08-25,C,0
824273,Y,N,2022-08-25,C,1
824274,Y,N,2022-08-25,C,2
824275,Y,N,2022-08-25,C,3
824276,Y,N,2022-08-25,C,4
824277,Y,N,2022-08-25,C,5
824278,Y,N,2022-08-25,C,6
824279,Y,N,2022-08-25,C,7
824280,Y,N,2022-08-25,C,8
824281,Y,N,2022-08-25,C,9
824282,Y,N,2022-08-25,C,10
824283,Y,N,2022-08-25,C,11
824284,Y,N,2022-08-25,C,12
824285,Y,N,2022-08-25,C,13
824286,Y,N,2022-08-25,C,14
824287,Y,N,2022-08-25,C,15
824288,Y,N,2022-08-25,C,16
824289,Y,N,2022-08-25,C,17
824290,Y,N,2022-08-25,C,18
824291,Y,N,2022-08-25,C,19
824292,Y,N,2022-08-25,C,20
824293,Y,N,2022-08-25,C,21
824294,Y,N,2022-08-25,C,22
824295,Y,N,2022-08-25,C,23
824296,Y,N,2022-08-25,C,24
824297,Y,N,2022-08-25,C,25
824298,Y,N,2022-08-25,C,26
824299,Y,N,2022-08-25,C,27
824300,Y,N,2022-08-25,C,28
824301,Y,N,2022-08-25,C,29
824302,Y,N,2022-08-25,C,30
824303,Y,N,2022-08-25,C,31
824304,Y,N,2022-08-25,C,32
824305,Y,N,2022-08-25,C,33
824306,Y,N,2022-08-25,C,34
824307,Y,N,2022-08-25,C,35
824308,Y,N,2022-08-25,C,36
824309,Y,N,2022-08-25,C,37
824310,Y,N,2022-08-25,C,38
824311,Y,N,2022-08-25,C,39
824312,Y,N,2022-08-25,C,40
824313,Y,N,2022-08-25,C,41
824314,Y,N,2022-08-25,C,42
824315,Y,N,2022-08-25,C,43
824316,Y,N,2022-08-25,C,44
824317,Y,N,2022-08-25,C,45
824318,Y,N,2022-08-25,C,46
824319,Y,N,2022-08-25,C,47
824320,Y,N,2022-08-25,C,48
824321,Y,N,2022-08-25,C,49
824322,Y,N,2022-08-25,C,0
824323,Y,N,2022-08-25,C,1
824324,Y,N,2022-08-25,C,2
824325,Y,N,2022-08-25,C,3
824326,Y,N,2022-08-25,C,4
824327,Y,N,2022-08-25,C,5
824328,Y,N,2022-08-25,C,6
824329,Y,N,2022-08-25,C,7
824330,Y,N,2022-08-25,C,8
824331,Y,N,2022-08-25,C,9
824332,Y,N,2022-08-25,C,10
824333,Y,N,2022-08-25,C,11
824334,Y,N,2022-08-25,C,12
824335,Y,N,2022-08-25,C,13
824336,Y,N,2022-08-25,C,14
824337,Y,N,2022-08-25,C,15
824338,Y,N,2022-08-25,C,16
824339,Y,N,2022-08-25,C,17
824340,Y,N,2022-08-25,C,18
824341,Y,N,2022-08-25,C,19
824342,Y,N,2022-08-25,C,20
824343,Y,N,2022-08-25,C,21
824344,Y,N,2022-08-25,C,22
824345,Y,N,2022-08-25,C,23
824346,Y,N,2022-08-25,C,24
824347,Y,N,2022-08-25,C,25
824348,Y,N,2022-08-25,C,26
824349,Y,N,2022-08-25,C,27
824350,Y,N,2022-08-25,C,28
824351,Y,N,2022-08-25,C,29
824352,Y,N,2022-08-25,C,30
824353,Y,N,2022-08-25,C,31
824354,Y,N,2022-08-25,C,32
824355,Y,N,2022-08-25,C,33
824356,Y,N,2022-08-25,C,34
824357,Y,N,2022-08-25,C,35
824358,Y,N,2022-08-25,C,36
824359,Y,N,2022-08-25,C,37
824360,Y,N,2022-08-25,C,38
824361,Y,N,2022-08-25,C,39
824362,Y,N,2022-08-25,C,40
824363,Y,N,2022-08-25,C,41
824364,Y,N,2022-08-25,C,42
824365,Y,N,2022-08-25,C,43
824366,Y,N,2022-08-25,C,44
824367,Y,N,2022-08-25,C,45
824368,Y,N,2022-08-25,C,46
824369,Y,N,2022-08-25,C,47
824370,Y,N,2022-08-25,C,48
824371,Y,N,2022-08-25,C,49
824372,Y,N,2022-08-25,C,0
824373,Y,N,2022-08-25,C,1
824374,Y,N,2022-08-25,C,2
824375,Y,N,2022-08-25,C,3
824376,Y,N,2022-08-25,C,4
824377,Y,N,2022-08-25,C,5
824378,Y,N,2022-08-25,C,6
824379,Y,N,2022-08-25,C,7
824380,Y,N,2022-08-25,C,8
824381,Y,N,2022-08-25,C,9
824382,Y,N,2022-08-25,C,10
824383,Y,N,2022-08-25,C,11
824384,Y,N,2022-08-25,C,12
824385,Y,N,2022-08-25,C,13
824386,Y,N,2022-08-25,C,14
824387,Y,N,2022-08-25,C,15
824388,Y,N,2022-08-25,C,16
824389,Y,N,2022-08-25,C,17
824390,Y,N,2022-08-25,C,18
824391,Y,N,2022-08-25,C,19
824392,Y,N,2022-08-25,C,20
824393,Y,N,2022-08-25,C,21
824394,Y,N,2022-08-25,C,22
824395,Y,N,2022-08-25,C,23
824396,Y,N,2022-08-25,C,24
824397,Y,N,2022-08-25,C,25
824398,Y,N,2022-08-25,C,26
824399,Y,N,2022-08-25,C,27
824400,Y,N,2022-08-25,C,28
824401,Y,N,2022-08-25,C,29
824402,Y,N,2022-08-25,C,30
824403,Y,N,2022-08-25,C,31
824404,Y,N,2022-08-25,C,32
824405,Y,N,2022-08-25,C,33
824406,Y,N,2022-08-25,C,34
824407,Y,N,2022-08-25,C,35
824408,Y,N,2022-08-25,C,36
824409,Y,N,2022-08-25,C,37
824410,Y,N,2022-08-25,C,38
824411,Y,N,2022-08-25,C,39
824412,Y,N,2022-08-25,C,40
824413,Y,N,2022-08-25,C,41
824414,Y,N,2022-08-25,C,42
824415,Y,N,2022-08-25,C,43
824416,Y,N,2022-08-25,C,44
824417,Y,N,2022-08-25,C,45
824418,Y,N,2022-08-25,C,46
824419,Y,N,2022-08-25,C,47
824420,Y,N,2022-08-25,C,48
824421,Y,N,2022-08-25,C,49
824422,Y,N,2022-08-25,C,0
824423,Y,N,2022-08-25,C,1
824424,Y,N,2022-08-25,C,2
824425,Y,N,2022-08-25,C,3
824426,Y,N,2022-08-25,C,4
824427,Y,N,2022-08-25,C,5
824428,Y,N,2022-08-25,C,6
824429,Y,N,2022-08-25,C,7
824430,Y,N,2022-08-25,C,8
824431,Y,N,2022-08-25,C,9
824432,Y,N,2022-08-25,C,10
824433,Y,N,2022-08-25,C,11
824434,Y,N,2022-08-25,C,12
824435,Y,N,2022-08-25,C,13
824436,Y,N,2022-08-25,C,14
824437,Y,N,2022-08-25,C,15
824438,Y,N,2022-08-25,C,16
824439,Y,N,2022-08-25,C,17
824440,Y,N,2022-08-25,C,18
824441,Y,N,2022-08-25,C,19
824442,Y,N,2022-08-25,C,20
824443,Y,N,2022-08-25,C,21
824444,Y,N,2022-08-25,C,22
824445,Y,N,2022-08-25,C,23
824446,Y,N,2022-08-25,C,24
824447,Y,N,2022-08-25,C,25
824448,Y,N,2022-08-25,C,26
824449,Y,N,2022-08-25,C,27
824450,Y,N,2022-08-25,C,28
824451,Y,N,2022-08-25,C,29
824452,Y,N,2022-08-25,C,30
824453,Y,N,2022-08-25,C,31
824454,Y,N,2022-08-25,C,32
824455,Y,N,2022-08-25,C,33
824456,Y,N,2022-08-25,C,34
824457,Y,N,2022-08-25,C,35
824458,Y,N,2022-08-25,C,36
824459,Y,N,2022-08-25,C,37
824460,Y,N,2022-08-25,C,38
824461,Y,N,2022-08-25,C,39
824462,Y,N,2022-08-25,C,40
824463,Y,N,2022-08-25,C,41
824464,Y,N,2022-08-25,C,42
824465,Y,N,2022-08-25,C,43
824466,Y,N,2022-08-25,C,44
824467,Y,N,2022-08-25,C,45
824468,Y,N,2022-08-25,C,46
824469,Y,N,2022-08-25,C,47
824470,Y,N,2022-08-25,C,48
824471,Y,N,2022-08-25,C,49
824472,Y,N,2022-08-25,C,0
824473,Y,N,2022-08-25,C,1
824474,Y,N,2022-08-25,C,2
824475,Y,N,2022-08-25,C,3
824476,Y,N,2022-08-25,C,4
824477,Y,N,2022-08-25,C,5
824478,Y,N,2022-08-25,C,6
824479,Y,N,2022-08-25,C,7
824480,Y,N,2022-08-25,C,8
824481,Y,N,2022-08-25,C,9
824482,Y,N,2022-08-25,C,10
824483,Y,N,2022-08-25,C,11
824484,Y,N,2022-08-25,C,12
824485,Y,N,2022-08-25,C,13
824486,Y,N,2022-08-25,C,14
824487,Y,N,2022-08-25,C,15
824488,Y,N,2022-08-25,C,16
